status	sha16	basename	relpath	broken	fixed
FIXED	16339c721169d6de	_SPEC_DATA_ONE.big	patch/Release/SPECTER_AAB_AIRCRAFT_IDENTITY_PLAYABLE/_SPEC_DATA_ONE.big	0	1
FIXED	16339c721169d6de	_SPEC_DATA_ONE.big	patch/Release/SPECTER_AAB_GLOBAL_STRATEGIC_PLAYABLE/_SPEC_DATA_ONE.big	0	1
FIXED	16339c721169d6de	_SPEC_DATA_ONE.big	patch/Release/SPECTER_AIRFORCE_EXPANSION_IRAQ_FIX_PLAYABLE/_SPEC_DATA_ONE.big	0	1
OTHER	d7128187fe7be807	_SPEC_DATA_ONE.big	patch/Release/SPECTER_AIRFORCE_EXPANSION_PLAYABLE/_SPEC_DATA_ONE.big	1	0
FIXED	16339c721169d6de	_SPEC_DATA_ONE.big	patch/Release/SPECTER_B2_B52_BOMBER_PLAYABLE/_SPEC_DATA_ONE.big	0	1
BROKEN	5ee7d870b9bdd0b2	_SPEC_DATA_ONE.big	patch/Release/SPECTER_BIG_MERGE/_SPEC_DATA_ONE.big	1	0
BROKEN	5ee7d870b9bdd0b2	_SPEC_DATA_ONE.big	patch/Release/SPECTER_BIG_MERGE_PLAYABLE/_SPEC_DATA_ONE.big	1	0
BROKEN	5ee7d870b9bdd0b2	_SPEC_DATA_ONE.big	patch/Release/SPECTER_BIG_MERGE_PLAYABLE_REPAIRED/_SPEC_DATA_ONE.big	1	0
FIXED	16339c721169d6de	_SPEC_DATA_ONE.big	patch/Release/SPECTER_BRITAIN_COMBATDRONE_FIX/_SPEC_DATA_ONE.big	0	1
BROKEN	5ee7d870b9bdd0b2	_SPEC_DATA_ONE.big	patch/Release/SPECTER_BRITAIN_F35B_SAUDI_DRONE_PLAYABLE/_SPEC_DATA_ONE.big	1	0
BROKEN	5ee7d870b9bdd0b2	_SPEC_DATA_ONE.big	patch/Release/SPECTER_COMMANDCENTER_USA_PLAYABLE/_SPEC_DATA_ONE.big	1	0
BROKEN	5ee7d870b9bdd0b2	_SPEC_DATA_ONE.big	patch/Release/SPECTER_DATA_ONE_FINAL_EGYPT_FIXED/_SPEC_DATA_ONE.big	1	0
FIXED	16339c721169d6de	_SPEC_DATA_ONE.big	patch/Release/SPECTER_EGYPT_COMMANDCENTER_FIX/_SPEC_DATA_ONE.big	0	1
FIXED	16339c721169d6de	_SPEC_DATA_ONE.big	patch/Release/SPECTER_EGYPT_COMMANDCENTER_PLAYABLE/_SPEC_DATA_ONE.big	0	1
FIXED	16339c721169d6de	_SPEC_DATA_ONE.big	patch/Release/SPECTER_EGYPT_MHQ_PLAYABLE/_SPEC_DATA_ONE.big	0	1
