name,side,file,base_cost,final_cost,base_time,final_time,rating,origin,tech,category,cost_key,cost_m,time_m
NorthKorea_AdvancedAirBase,NorthKorea,Data/INI/Object/Specter/PatchSystems/AdvancedAirBase_FutureFactions.ini,3500.0,2318,45.0,37.2,Low,Domestic,Standard,Building,UnitCostMult,0.6621,0.8262
Japan_AdvancedAirBase,Japan,Data/INI/Object/Specter/PatchSystems/AdvancedAirBase_FutureFactions.ini,3500.0,3165,45.0,35.7,High,Domestic,Standard,Building,UnitCostMult,0.9044,0.7938
India_AdvancedAirBase,India,Data/INI/Object/Specter/PatchSystems/AdvancedAirBase_FutureFactions.ini,3500.0,2968,45.0,36.5,MediumHigh,Domestic,Standard,Building,UnitCostMult,0.8479,0.81
UAE_AdvancedAirBase,UAE,Data/INI/Object/Specter/PatchSystems/AdvancedAirBase_FutureFactions.ini,3500.0,3165,45.0,36.5,High,Domestic,Standard,Building,UnitCostMult,0.9044,0.81
SaudiArabia_AdvancedAirBase,SaudiArabia,Data/INI/Object/Specter/PatchSystems/AdvancedAirBase_FutureFactions.ini,3500.0,3165,45.0,36.5,High,Domestic,Standard,Building,UnitCostMult,0.9044,0.81
Pakistan_AdvancedAirBase,Pakistan,Data/INI/Object/Specter/PatchSystems/AdvancedAirBase_FutureFactions.ini,3500.0,2402,45.0,36.5,Low,Domestic,Standard,Building,UnitCostMult,0.6864,0.81
Ukraine_AdvancedAirBase,Ukraine,Data/INI/Object/Specter/PatchSystems/AdvancedAirBase_FutureFactions.ini,3500.0,2544,45.0,36.5,MediumLow,Domestic,Standard,Building,UnitCostMult,0.7268,0.81
AirF_AmericaAdvancedAirBase,AmericaAirForceGeneral,Data/INI/Object/Specter/PatchSystems/AdvancedAirBase_FutureFactions.ini,3500.0,3392,45.0,36.5,VeryHigh,Domestic,Standard,Building,UnitCostMult,0.969,0.81
GLA_AdvancedAirBase,GLA,Data/INI/Object/Specter/PatchSystems/AdvancedAirBase_AllFactions.ini,3500.0,2261,45.0,36.5,Low,Domestic,Standard,Building,UnitCostMult,0.646,0.81
Nato_AdvancedAirBase,Nato,Data/INI/Object/Specter/PatchSystems/AdvancedAirBase_AllFactions.ini,3500.0,3335,45.0,36.5,VeryHigh,Domestic,Standard,Building,UnitCostMult,0.9528,0.81
Iraq_AdvancedAirBase,Iraq,Data/INI/Object/Specter/PatchSystems/AdvancedAirBase_AllFactions.ini,3500.0,2402,45.0,36.5,Low,Domestic,Standard,Building,UnitCostMult,0.6864,0.81
