SPECTER NATIONAL GROUND RUNTIME VISUAL AUDIT
========================================================================
DATA_SHA256 9eca9e739fc0861509f7d7ee2c09042e2909f60fe9629daca173ef535cdc751d
ART_SHA256 db165043b149aaf956a4daf094eabd60f1a4177feef05de7d100e97f14f07f92
DATA_FILES 2800 ART_FILES 4391

Country | Slot | Unit | Object | Model | Texture closure | Weapon bone compatibility | Status
------------------------------------------------------------------------
Japan | 1 MBT | Type 10 | JapanTankType10 | LSFJapan10Tank | OK | OK | VISUAL_OK
Japan | 2 Heavy Tank | Type 90 | JapanTankType90 | LSF90tank | OK | OK | VISUAL_OK
Japan | 3 Recon | Type 16 MCV | JapanVehicleType16 | JP_NAT_Cortale | OK | OK | VISUAL_OK
Japan | 4 IFV | Type 89 IFV | JapanVehicleType89 | LSF89 | OK | OK | VISUAL_OK
Japan | 5 APC | Type 96 WAPC | JapanVehicleType96 | JP96 | OK | OK | VISUAL_OK
Japan | 6 SHORAD | Type 87 SPAAG | JapanVehicleType87 | LSFJP87V | OK | OK | VISUAL_OK
Japan | 7 Mobile SAM | Type 03 Chu-SAM | JapanVehicleChuSAM | JP_NAT_IRIST_SLM | OK | OK | VISUAL_OK
Japan | 8 Radar | J/TPS-P18 | JapanVehicleRadar | JP_UVRadarVan | OK | OK | VISUAL_OK
Japan | 9 MLRS | M270 MLRS | JapanVehicleM270 | LSFJPM270 | OK | OK | VISUAL_OK
Japan | 10 Ballistic/Cruise TEL | Type 12 SSM | JapanVehicleType12 | AGMZJP88 | OK | OK | VISUAL_OK
Japan | 11 SPA | Type 99 SPH | JapanVehicleType99 | LSFJP99 | OK | OK | VISUAL_OK
Japan | 12 AT Vehicle | Type 96 MPMS | JapanVehicleType16AT | JP_NAT_Cortale | OK | OK | VISUAL_OK
Japan | 13 Engineer | Type 11 ARV | JapanVehicleType11ARV | JP_Irq_VT72B | OK | OK | VISUAL_OK
Japan | 14 Special | Type 88 SSM | JapanVehicleType12Btry | AGMZJP88 | OK | OK | VISUAL_OK
SouthKorea | 1 MBT | K2 Black Panther | SouthKoreaTankK1A2 | LSFXK2 | OK | OK | VISUAL_OK
SouthKorea | 2 Heavy Tank | K1A2 | SouthKoreaTankK1A1 | LSFK1A1 | OK | OK | VISUAL_OK
SouthKorea | 3 Recon | K806 White Tiger | SouthKoreaVehicleK200 | SK_US_M1126 | OK | OK | VISUAL_OK
SouthKorea | 4 IFV | K21 IFV | SouthKoreaVehicleK21 | LSFK21 | OK | OK | VISUAL_OK
SouthKorea | 5 APC | K200A1 | SouthKoreaVehicleK200APC | SK_US_M1126 | OK | OK | VISUAL_OK
SouthKorea | 6 SHORAD | K30 Biho | SouthKoreaVehicleK30 | SK_US_M6 | OK | OK | VISUAL_OK
SouthKorea | 7 Mobile SAM | KM-SAM | SouthKoreaVehicleCheongung | KVKMSAM | OK | OK | VISUAL_OK
SouthKorea | 8 Radar | TPS-830K | SouthKoreaVehicleRadar | SK_NAT_TRML | OK | OK | VISUAL_OK
SouthKorea | 9 MLRS | K239 Chunmoo | SouthKoreaVehicleChunmoo | KVChunmoo | OK | OK | VISUAL_OK
SouthKorea | 10 Ballistic/Cruise TEL | Hyunmoo Missile | SouthKoreaVehicleHyunmoo | SK_LSFIskander | OK | OK | VISUAL_OK
SouthKorea | 11 SPA | K9 Thunder | SouthKoreaVehicleK9 | SK_LSFSKK55 | OK | OK | VISUAL_OK
SouthKorea | 12 AT Vehicle | AT-1K Raybolt | SouthKoreaVehicleK21AT | SK_US_M1128 | OK | OK | VISUAL_OK
SouthKorea | 13 Engineer | K288 ARV | SouthKoreaVehicleK288 | SK_Irq_VT72B | OK | OK | VISUAL_OK
SouthKorea | 14 Special | Hyunmoo-3 | SouthKoreaVehicleHyunmoo2B | SK_LSFIskander | OK | OK | VISUAL_OK
Germany | 1 MBT | Leopard 2A7 | GermanyTankLeopard2A7 | DE_NAT_L2A7V | OK | OK | VISUAL_OK
Germany | 2 Heavy Tank | Leopard 2A6 | GermanyTankLeopard2A6 | DE_LSFB2A6 | OK | OK | VISUAL_OK
Germany | 3 Recon | Fennek | GermanyVehicleFennek | LSFPHD | OK | OK | VISUAL_OK
Germany | 4 IFV | Puma | GermanyVehiclePuma | LSFMZS | OK | OK | VISUAL_OK
Germany | 5 APC | Boxer | GermanyVehicleBoxer | DE_LSFBoxer | OK | OK | VISUAL_OK
Germany | 6 SHORAD | Gepard | GermanyVehicleGepard | DE_LSFLIEBAO | OK | OK | VISUAL_OK
Germany | 7 Mobile SAM | IRIS-T | GermanyVehicleIRIST | DE_NAT_IRIST_SLX | OK | OK | VISUAL_OK
Germany | 8 Radar | TRML-4D | GermanyVehicleTRML | DE_NAT_TRML | OK | OK | VISUAL_OK
Germany | 9 MLRS | MARS II | GermanyVehicleMARS | DE_NAT_M142 | OK | OK | VISUAL_OK
Germany | 10 Ballistic/Cruise TEL | Taurus | GermanyVehicleTaurusTEL | DE_US_M1075 | OK | OK | VISUAL_OK
Germany | 11 SPA | PzH 2000 | GermanyVehiclePzH2000 | LSFzh2000 | OK | OK | VISUAL_OK
Germany | 12 AT Vehicle | Wiesel TOW | GermanyVehicleWieselAT | DE_US_M1128 | OK | OK | VISUAL_OK
Germany | 13 Engineer | BPz3 Buffel | GermanyVehicleBuffel | DE_Irq_VT72B | OK | OK | VISUAL_OK
Germany | 14 Special | Boxer Skyranger | GermanyVehicleBoxerAA | LSFBoxerAA | OK | OK | VISUAL_OK
France | 1 MBT | Leclerc | FranceTankLeclerc | FR_LSFLKLR | OK | OK | VISUAL_OK
France | 2 Heavy Tank | AMX-30B2 | FranceTankAMX30 | LSFAMX30 | OK | OK | VISUAL_OK
France | 3 Recon | AMX-10RC | FranceVehicleAMX10RC | LSFamx10 | OK | OK | VISUAL_OK
France | 4 IFV | VBCI | FranceVehicleVBCI | FR_LSFVBCI | OK | OK | VISUAL_OK
France | 5 APC | VBMR Griffon | FranceVehicleVAB | FR_NAT_VBCI | OK | OK | VISUAL_OK
France | 6 SHORAD | Mistral | FranceVehicleMistral | LSFAMX30SA | OK | OK | VISUAL_OK
France | 7 Mobile SAM | SAMP/T | FranceVehicleSAMPT | FR_NAT_IRIST_SLM | OK | OK | VISUAL_OK
France | 8 Radar | Ground Master 200 | FranceVehicleGM200 | FR_NAT_TRML | OK | OK | VISUAL_OK
France | 9 MLRS | M270 | FranceVehicleLRU | FR_US_M270 | OK | OK | VISUAL_OK
France | 10 Ballistic/Cruise TEL | SCALP | FranceVehicleSCALPTEL | FR_US_M1075 | OK | OK | VISUAL_OK
France | 11 SPA | Caesar | FranceVehicleCaesar | LSFkaisa | OK | OK | VISUAL_OK
France | 12 AT Vehicle | VAB HOT | FranceVehicleVABHOT | FR_US_M1128 | OK | OK | VISUAL_OK
France | 13 Engineer | Leclerc DNG | FranceVehicleDNG | FR_Irq_VT72B | OK | OK | VISUAL_OK
France | 14 Special | EBRC Jaguar | FranceVehicleJaguar | LSFamx10 | OK | OK | VISUAL_OK
Britain | 1 MBT | Challenger 2 | BritainTankChallenger2 | LSFChallenger2 | OK | OK | VISUAL_OK
Britain | 2 Heavy Tank | Challenger 2 TES | BritainTankChallenger2TES | LSFChallenger2 | OK | OK | VISUAL_OK
Britain | 3 Recon | Ajax | BritainVehicleAjax | GB_US_M1296 | OK | OK | VISUAL_OK
Britain | 4 IFV | Warrior | BritainVehicleWarrior | LSFWarrior | OK | OK | VISUAL_OK
Britain | 5 APC | Mastiff | BritainVehicleMastiff | GB_LSFBoxer | OK | OK | VISUAL_OK
Britain | 6 SHORAD | Stormer HVM | BritainVehicleStormer | GB_US_M6 | OK | OK | VISUAL_OK
Britain | 7 Mobile SAM | Sky Sabre | BritainVehicleSkySabre | GB_NAT_IRIST_SLM | OK | OK | VISUAL_OK
Britain | 8 Radar | Giraffe | BritainVehicleGiraffe | GB_NAT_TRML | OK | OK | VISUAL_OK
Britain | 9 MLRS | M270 GMLRS | BritainVehicleGMLRS | GB_US_M270 | OK | OK | VISUAL_OK
Britain | 10 Ballistic/Cruise TEL | Storm Shadow | BritainVehicleStormShadowTEL | GB_US_M1075 | OK | OK | VISUAL_OK
Britain | 11 SPA | AS90 | BritainVehicleAS90 | LSFAS90 | OK | OK | VISUAL_OK
Britain | 12 AT Vehicle | FV102 Striker | BritainVehicleStriker | GB_US_M1128 | OK | OK | VISUAL_OK
Britain | 13 Engineer | CRARRV | BritainVehicleCRARRV | GB_Irq_VT72B | OK | OK | VISUAL_OK
Britain | 14 Special | Trojan AVRE | BritainVehicleTrojan | LSFChallenger2 | OK | OK | VISUAL_OK
Italy | 1 MBT | C2 Ariete | ItalyTankAriete | LSFITGY | OK | OK | VISUAL_OK
Italy | 2 Heavy Tank | C1 Ariete | ItalyTankArieteC1 | LSFITGY | OK | OK | VISUAL_OK
Italy | 3 Recon | B1 Centauro | ItalyVehicleCentauro | IT_NAT_Cortale | OK | OK | VISUAL_OK
Italy | 4 IFV | Dardo | ItalyVehicleDardo | IT_NAT_Puma | OK | OK | VISUAL_OK
Italy | 5 APC | Freccia | ItalyVehicleVBM | IT_NAT_VBCI | OK | OK | VISUAL_OK
Italy | 6 SHORAD | SIDAM 25 | ItalyVehicleSIDAM | IT_US_M6 | OK | OK | VISUAL_OK
Italy | 7 Mobile SAM | SAMP/T | ItalyVehicleSAMPT | IT_NAT_IRIST_SLM | OK | OK | VISUAL_OK
Italy | 8 Radar | RAT-31DL | ItalyVehicleRAT31 | IT_NAT_TRML | OK | OK | VISUAL_OK
Italy | 9 MLRS | M270 MLRS | ItalyVehicleM270 | IT_US_M270 | OK | OK | VISUAL_OK
Italy | 10 Ballistic/Cruise TEL | Storm Shadow | ItalyVehicleStormShadowTEL | IT_US_M1075 | OK | OK | VISUAL_OK
Italy | 11 SPA | PzH 2000 | ItalyVehiclePzH2000 | IT_NAT_Caesar | OK | OK | VISUAL_OK
Italy | 12 AT Vehicle | Centauro 105 | ItalyVehicleCentauroAT | IT_NAT_Cortale | OK | OK | VISUAL_OK
Italy | 13 Engineer | Ariete ARV | ItalyVehicleARV | IT_Irq_VT72B | OK | OK | VISUAL_OK
Italy | 14 Special | Centauro II | ItalyVehicleCentauro2 | IT_NAT_Cortale | OK | OK | VISUAL_OK
Turkey | 1 MBT | Leopard 2A4 | TurkeyTankLeopard2A4 | TR_LSFB2A6 | OK | OK | VISUAL_OK
Turkey | 2 Heavy Tank | M60T Sabra | TurkeyTankM60T | TR_US_M1A2Sep2 | OK | OK | VISUAL_OK
Turkey | 3 Recon | Kaplan-20 | TurkeyVehicleKaplan | TR_US_M1296 | OK | OK | VISUAL_OK
Turkey | 4 IFV | Tulpar IFV | TurkeyVehicleACV15 | TR_NAT_Puma | OK | OK | VISUAL_OK
Turkey | 5 APC | Kirpi | TurkeyVehicleKirpi | TR_US_M1126 | OK | OK | VISUAL_OK
Turkey | 6 SHORAD | Korkut | TurkeyVehicleKorkut | TR_LSFLIEBAO | OK | OK | VISUAL_OK
Turkey | 7 Mobile SAM | Hisar | TurkeyVehicleHisar | TR_NAT_IRIST_SLM | OK | OK | VISUAL_OK
Turkey | 8 Radar | Kalkan | TurkeyVehicleKalkan | TR_NAT_TRML | OK | OK | VISUAL_OK
Turkey | 9 MLRS | T-300 Kasirga | TurkeyVehicleKasirga | TR_US_M270 | OK | OK | VISUAL_OK
Turkey | 10 Ballistic/Cruise TEL | Bora Missile | TurkeyVehicleBora | TR_LSFIskander | OK | OK | VISUAL_OK
Turkey | 11 SPA | T-155 Firtina | TurkeyVehicleFirtina | TR_US_M109A7 | OK | OK | VISUAL_OK
Turkey | 12 AT Vehicle | ACV-15 TOW | TurkeyVehicleACVTOW | TR_US_M1128 | OK | OK | VISUAL_OK
Turkey | 13 Engineer | M88 ARV | TurkeyVehicleM88 | TR_Irq_VT72B | OK | OK | VISUAL_OK
